K,inertia,silhouette
2,1930.427473368497,0.3894482219825698
3,1193.8039909693423,0.41878906297851815
4,650.9182996354184,0.5110379738341966
5,569.4299425920506,0.48269638275541493
6,490.7796636717542,0.5110224924850049
7,410.47953992956303,0.5090091231092496
8,329.2894935241828,0.5464243333926965
9,287.79144492329505,0.5705636345451671
10,249.29436208510563,0.5822588607581366
11,208.4415169144675,0.608535884707567
12,167.5811473483926,0.6601328502096614
13,128.9983202473117,0.7111621018843214
14,89.63280410822914,0.7692075889450394
15,49.3876562494918,0.8229068542957435
16,10.219774129141328,0.8802270845818987
17,9.966303664553374,0.8471170599594177
18,9.719663216128069,0.8134384393739629
19,9.47078388957468,0.7773291663676639
20,9.23582441561234,0.7450496407758956
