snr_db,adaptive rms error to true grid,adaptive min centroid gap,template rms error to true grid,template min centroid gap
0,0.5744314803205636,0.8561301127411903,0.003861730651878854,0.6258424891324528
5,0.2347067627870633,0.655462312570942,0.003861730651878854,0.6258424891324528
10,0.05361873831970321,0.567992147976102,0.003861730651878854,0.6258424891324528
15,0.01119566252179366,0.604569244197315,0.003861730651878854,0.6258424891324528
20,0.006191692393838086,0.6177469518119325,0.003861730651878854,0.6258424891324528
25,0.003861730651878854,0.6258424891324528,0.003861730651878854,0.6258424891324528
30,0.002060131456158451,0.6284589164157062,0.003861730651878854,0.6258424891324528
